Real;Forecast;MAPE
4120;4201.278159;1.97277085
3934;4001.485721;1.715447926
3928;3928.668487;0.017018503
4114;4057.579879;1.371417627
4524;4358.32664;3.662099031
5025;4905.280218;2.382483221
5272;5399.020933;2.409350021
5211;5344.324704;2.55852436
5205;5042.404386;3.123835041
5213;5137.967712;1.439330295
5130;5141.821985;0.230448044
4988;4981.380283;0.132712841
4823;4842.267945;0.399501241
4845;4706.462754;2.859385887
4936;4926.956694;0.183211216
5199;5028.575906;3.278016804
5773;5416.484896;6.175560444
5764;6208.397087;7.709873124
5728;5600.698113;2.222449145
5570;5660.169819;1.61884773
5423;5393.090385;0.551532644
5229;5288.550426;1.138849225
4980;5051.200855;1.429736039
4553;4801.113687;5.449455019
4199;4281.473102;1.964112936
4021;4054.710805;0.838368688
3988;4030.362821;1.062257299
4182;4089.995034;2.200023109
4612;4437.770814;3.777736029
5115;5009.035039;2.071651246
5221;5489.525509;5.14318156
5168;5175.731905;0.149611161
5109;5043.886582;1.274484587
5009;5002.323284;0.133294397
4979;4866.185043;2.265815573
4876;4915.135746;0.80261989
4747;4763.619535;0.35010607
4680;4665.959467;0.300011379
4731;4680.7003;1.063193823
5034;4818.334545;4.284176694
5650;5300.555091;6.184865647
5800;6110.816757;5.358909597
5791;5758.377518;0.563330719
5659;5707.347281;0.854343183
5559;5492.429515;1.197526263
5338;5444.353856;1.992391461
4931;5108.699604;3.603723466
4573;4604.996659;0.699686408
4234;4383.763298;3.537158662
4102;4086.423361;0.379732783
4071;4154.786285;2.058125405
4231;4165.7036;1.543285272
4687;4468.88692;4.653575429
5116;5115.230354;0.015043897
5239;5417.008509;3.397757385
5170;5223.689741;1.038486286
5046;5029.557092;0.32586025
5003;4893.150659;2.195669409
4844;4930.232234;1.780186499
4736;4660.903555;1.585651294
4560;4663.275506;2.264813738
4545;4448.386624;2.125706839
4602;4612.229089;0.222274855
4963;4689.062458;5.519595857
5629;5281.754901;6.168859465
5652;6124.449603;8.35898094
5581;5486.750131;1.6887631
5473;5470.322591;0.048920326
5279;5336.10877;1.08181039
5084;5076.868434;0.140274711
4874;4907.305717;0.683334372
4506;4720.029116;4.749869409
4138;4273.924659;3.284791181
3934;3965.6367;0.804186582
3877;3920.707895;1.12736382
3946;3963.155833;0.434765163
4143;4103.896167;0.943853068
4578;4372.714971;4.484164017
4821;4960.55802;2.894794017
4920;4934.709919;0.298982086
4883;4913.781507;0.630381055
4877;4774.169501;2.108478555
4824;4818.462636;0.114787817
4779;4719.374763;1.247650917
4737;4704.482997;0.686447189
4599;4696.35199;2.116807787
4640;4491.679094;3.196571253
4936;4723.185783;4.311471165
5482;5191.045811;5.307445994
5512;5876.048919;6.604661086
5384;5382.64005;0.025259097
5250;5229.601227;0.388548054
5197;5123.905445;1.406475953
4878;5140.868927;5.388866902
4819;4574.845107;5.066505362
4402;4832.732609;9.784929774
4043;4095.558372;1.299984475
3814;3888.619056;1.95645139
3745;3769.420173;0.652074044
3796;3822.191776;0.689983559
3851;3940.386277;2.321118604
4246;3952.287979;6.91738155
4539;4634.909081;2.113000246
4683;4717.366204;0.733850191
4691;4714.602398;0.50314214
4638;4616.942367;0.454023995
4544;4537.85842;0.135158015
4438;4417.909839;0.452685013
4253;4319.938984;1.573923907
4172;4097.770749;1.779224624
4217;4158.596681;1.384949471
4549;4302.740819;5.413479468
5305;4846.906873;8.635120198
5457;5877.181987;7.699871479
5453;5383.076364;1.282296649
5331;5369.099012;0.714669143
5158;5163.985683;0.116046591
4910;4963.901015;1.097780344
4588;4662.81941;1.630763085
4240;4333.352994;2.201721561
3844;4041.194759;5.129936496
3700;3646.438657;1.447603853
3712;3759.002263;1.266224765
3872;3850.131853;0.564776511
4400;4092.628676;6.985711901
4916;4884.469557;0.641384109
5061;5272.91035;4.187124084
5030;5039.515293;0.189170837
5005;4903.961538;2.018750484
4944;4912.32319;0.640712169
4854;4815.9109;0.784695096
4814;4715.213244;2.052072216
4686;4765.433782;1.695129784
4724;4583.957721;2.964485167
4828;4806.043271;0.454778975
5112;4926.191389;3.634753745
5546;5340.121781;3.712192921
5646;5847.359569;3.566411068
5543;5599.773491;1.024237622
5361;5388.244663;0.508201143
5225;5180.544274;0.850827288
4930;5109.40078;3.638961061
4658;4673.541865;0.333659623
4251;4489.36084;5.607171013
3969;4008.419669;0.993188946
3801;3893.007614;2.420615987
3792;3808.533756;0.436016769
3963;3915.945239;1.187352022
4448;4200.521061;5.563825065
5024;4891.607328;2.635204454
5169;5438.625775;5.216207679
5221;5127.926522;1.782675319
5214;5175.075473;0.746538679
5211;5114.590801;1.850109356
4966;5120.54383;3.112038467
4968;4672.177195;5.954565327
4885;4982.822671;2.00251117
4829;4806.637596;0.463085609
4904;4815.182058;1.811132584
5097;5001.466945;1.874299684
5509;5264.315468;4.441541697
5613;5825.564014;3.786994732
5497;5581.73549;1.541486074
5339;5341.472185;0.046304276
5208;5197.213174;0.207120309
5011;5100.166525;1.779415781
4719;4842.953923;2.626698934
4336;4510.245914;4.018586583
4011;4113.361063;2.552008553
3861;3886.781331;0.667737142
3798;3887.008453;2.343561168
3971;3865.91457;2.646321594
4489;4219.240248;6.009350679
5055;4962.313984;1.833551253
5386;5456.682024;1.312328695
5509;5506.450716;0.046274891
5540;5465.708372;1.34100411
5537;5446.911828;1.627021354
5437;5416.936029;0.3690265
5382;5249.379562;2.464147857
5294;5291.507782;0.04707628
5220;5209.253632;0.205869118
5309;5181.042546;2.410198787
5491;5416.207145;1.362098972
5777;5639.770088;2.375452873
5852;5986.263816;2.294323574
5683;5836.094965;2.69391105
5491;5500.115294;0.166004259
5336;5344.18749;0.153438715
5166;5223.244244;1.108096086
4903;5043.781355;2.871330921
4504;4728.514692;4.984784469
4157;4269.961152;2.717371943
3966;4023.482013;1.449369967
3937;3965.530739;0.724682222
4090;4044.177416;1.120356568
4530;4313.806894;4.772474755
5045;4944.452344;1.993015977
5279;5427.417795;2.811475563
5329;5340.305839;0.212156868
5270;5258.698791;0.214444185
5263;5132.540294;2.478808772
5185;5182.329697;0.051500539
5129;5040.652861;1.72250222
5063;5051.187541;0.233309481
5076;5012.732628;1.246402122
5211;5114.720236;1.847625477
5292;5337.387279;0.85765834
5743;5339.012106;7.034440084
5875;6106.388325;3.938524689
5833;5860.222497;0.466698049
5681;5726.027645;0.792600686
5525;5517.248818;0.140292893
5279;5390.440304;2.11101163
5017;5072.796996;1.112158576
4519;4838.362824;7.067112731
4273;4188.367343;1.980637893
4057;4253.096357;4.833531116
4024;4015.626549;0.208087744
4202;4138.468595;1.511932535
4680;4453.300702;4.844002086
5092;5124.239308;0.633136447
5303;5364.67828;1.163082784
5317;5363.459321;0.873788245
5277;5228.032568;0.927940721
5214;5167.933266;0.883520014
5142;5086.309299;1.083055255
5008;5024.794897;0.335361356
4896;4869.936652;0.532339618
4815;4833.541158;0.385070778
4885;4788.169351;1.982203668
5077;4991.201511;1.68994464
5690;5247.311312;7.780117545
5878;6179.093436;5.122378968
5773;5877.493394;1.810036266
5581;5595.200033;0.254435286
5435;5394.101139;0.752508944
5196;5307.785278;2.151371779
4931;4977.333782;0.939642715
4558;4737.765665;3.9439593
4268;4333.629561;1.537712302
4028;4172.872564;3.596637637
4062;3973.107651;2.188388704
4012;4234.129292;5.536622436
4297;4047.890309;5.797293247
4700;4627.282545;1.547179893
